Inst,dist,District Name,Indian American,Asian,Black,White,Hispanic,Pacific Islander,Multiple Races,All Students,Female,Male
11,1,Andover School District,NA,NA,NA,293,NA,NA,8,314,132,182
11,2,Ansonia School District,19,16,525,1267,650,37,NA,2514,1214,1300
11,3,Ashford School District,NA,11,NA,406,39,NA,19,481,238,243
11,4,Avon School District,NA,318,106,2796,176,11,84,3495,1727,1768
11,5,Barkhamsted School District,NA,NA,NA,344,NA,NA,NA,357,157,200
11,7,Berlin School District,NA,109,34,2571,209,NA,91,3015,1435,1580
11,8,Bethany School District,NA,37,9,430,12,NA,NA,491,240,251
11,9,Bethel School District,NA,189,68,2280,376,NA,52,2970,1428,1542
11,11,Bloomfield School District,6,31,1617,210,194,NA,92,2151,1041,1110
11,12,Bolton School District,NA,14,31,796,30,NA,21,892,453,439
11,13,Bozrah School District,NA,NA,11,206,11,NA,NA,234,121,113
11,14,Branford School District,NA,156,72,2831,206,NA,42,3312,1655,1657
11,15,Bridgeport School District,171,595,7812,1699,9790,14,44,20125,9838,10287
11,17,Bristol School District,13,246,538,5844,1592,NA,209,8442,4055,4387
11,18,Brookfield School District,7,164,45,2454,160,NA,NA,2834,1425,1409
11,19,Brooklyn School District,NA,17,20,842,34,NA,14,930,441,489
11,21,Canaan School District,NA,NA,NA,80,NA,NA,NA,86,48,38
11,22,Canterbury School District,NA,NA,7,464,25,NA,14,515,223,292
11,23,Canton School District,NA,37,59,1567,68,NA,7,1738,873,865
11,24,Chaplin School District,NA,NA,NA,155,14,NA,10,182,90,92
11,25,Cheshire School District,7,431,99,4054,183,NA,10,4784,2366,2418
11,26,Chester School District,NA,7,NA,244,NA,NA,NA,259,142,117
11,27,Clinton School District,9,49,14,1724,164,NA,39,2002,972,1030
11,28,Colchester School District,27,63,94,2660,140,NA,25,3009,1497,1512
11,29,Colebrook School District,NA,NA,NA,90,NA,NA,8,99,51,48
11,30,Columbia School District,NA,NA,NA,486,24,NA,7,524,270,254
11,31,Cornwall School District,NA,NA,NA,92,NA,NA,9,106,50,56
11,32,Coventry School District,NA,18,19,1600,75,NA,62,1776,897,879
11,33,Cromwell School District,NA,111,184,1536,145,NA,NA,1982,942,1040
11,34,Danbury School District,10,800,934,4632,3960,NA,149,10488,5100,5388
11,35,Darien School District,10,162,17,4469,137,NA,11,4806,2334,2472
11,36,Deep River School District,NA,NA,NA,329,24,NA,NA,357,184,173
11,37,Derby School District,NA,32,212,817,353,7,19,1440,704,736
11,39,Eastford School District,NA,NA,NA,164,NA,NA,NA,174,79,95
11,40,East Granby School District,NA,28,46,709,43,NA,15,845,401,444
11,41,East Haddam School District,NA,11,11,1199,32,NA,13,1269,632,637
11,42,East Hampton School District,NA,39,15,1789,74,NA,23,1942,966,976
11,43,East Hartford School District,24,391,2429,1291,2918,NA,101,7155,3429,3726
11,44,East Haven School District,NA,148,98,2422,563,NA,35,3270,1591,1679
11,45,East Lyme School District,7,287,64,2478,117,NA,24,2978,1494,1484
11,46,Easton School District,NA,52,9,923,53,NA,14,1053,478,575
11,47,East Windsor School District,6,73,143,846,154,NA,61,1284,630,654
11,48,Ellington School District,NA,144,92,2319,112,NA,75,2747,1358,1389
11,49,Enfield School District,20,117,352,4386,518,9,245,5647,2727,2920
11,50,Essex School District,NA,19,8,512,15,NA,NA,558,272,286
11,51,Fairfield School District,24,520,234,8365,872,NA,270,10289,5079,5210
11,52,Farmington School District,9,550,198,3074,202,NA,8,4041,1940,2101
11,53,Franklin School District,NA,NA,NA,179,14,NA,NA,204,95,109
