School Year,District Name,Category,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other,Column 8
2010,Ansonia School District,All Students,72.5,10.5,0,17,
2010,Ansonia School District,Hispanic,60.61,9.09,0,30.3030303,
2010,Ansonia School District,Non-Hispanic,74.85,10.7,0,14.37125749,
2010,Ansonia School District,Indian,NA,NA,NA,NA,
2010,Ansonia School District,Asian,NA,NA,NA,NA,
2010,Ansonia School District,Black,67.5,12.5,0,20,
2010,Ansonia School District,White,76.86,9.92,0,13.2231405,
2010,Ansonia School District,Male,60.78,15.6,0,23.52941176,
2010,Ansonia School District,Female,84.69,5.1,0,10.20408163,
2010,Ansonia School District,ELL,NA,NA,NA,NA,
2010,Ansonia School District,Non-ELL,72.22,10.6,0,17.17171717,
2010,Ansonia School District,Eligible For Lunch,68.35,8.86,0,22.78481013,
2010,Ansonia School District,Not Eligible For Lunch,75.21,11.5,0,13.2231405,
2010,Ansonia School District,Special Education,44.44,16.6,0,38.88888889,
2010,Ansonia School District,Non-Special Education,75.27,9.89,0,14.83516484,
2010,Avon School District,All Students,91.7,3.97,0,4.332129964,
2010,Avon School District,Hispanic,NA,NA,NA,NA,
2010,Avon School District,Non-Hispanic,91.91,3.68,0,4.411764706,
2010,Avon School District,Asian,82.35,5.88,0,11.76470588,
2010,Avon School District,Black,83.33,0,0,16.66666667,
2010,Avon School District,White,92.77,3.61,0,3.614457831,
2010,Avon School District,Male,90.48,4.76,0,4.761904762,
2010,Avon School District,Female,93.08,3.08,0,3.84,
2010,Avon School District,ELL,NA,NA,NA,NA,
2010,Avon School District,Non-ELL,92,4,0,4,
2010,Avon School District,Eligible For Lunch,85.71,0,0,14.28571429,
2010,Avon School District,Not Eligible For Lunch,91.85,4.07,0,4.074074074,
2010,Avon School District,Special Education,74.19,19.3,0,6.451612903,
2010,Avon School District,Non-Special Education,93.9,2.03,0,4.06504065,
2010,Berlin School District,All Students,90.5,4.13,0,5.371900826,
2010,Berlin School District,Hispanic,NA,NA,NA,NA,
2010,Berlin School District,Non-Hispanic,92.34,2.55,0,5.106382979,
2010,Berlin School District,Asian,90.91,0,0,9.090909091,
2010,Berlin School District,Black,NA,NA,NA,NA,
2010,Berlin School District,White,92.79,2.7,0,4.504504505,
2010,Berlin School District,Male,89.84,6.25,0,3.90625,
2010,Berlin School District,Female,91.23,1.75,0,7.01754386,
2010,Berlin School District,ELL,NA,NA,NA,NA,
