School Year,District Name,School Name,Category,4-Year Graduation  Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other
2011,Ansonia School District,Ansonia High School,All Students,70.5,11.5,0,18
2011,Ansonia School District,Ansonia High School,Hispanic,59,20.5,0,20.5
2011,Ansonia School District,Ansonia High School,Non-Hispanic,73.6,9,0,17.4
2011,Ansonia School District,Ansonia High School,American Indian,NA,NA,NA,NA
2011,Ansonia School District,Ansonia High School,Asian American,NA,NA,NA,NA
2011,Ansonia School District,Ansonia High School,Black,74,8,0,18
2011,Ansonia School District,Ansonia High School,White,75,9.1,0,15.9
2011,Ansonia School District,Ansonia High School,Male,67.8,14.4,0,17.8
2011,Ansonia School District,Ansonia High School,Female,73.1,8.6,0,18.3
2011,Ansonia School District,Ansonia High School,ELL,NA,NA,NA,NA
2011,Ansonia School District,Ansonia High School,Non-ELL,70.4,11.2,0,18.4
2011,Ansonia School District,Ansonia High School,Eligible For Lunch,56.8,17.9,0,25.3
2011,Ansonia School District,Ansonia High School,Not Eligible For Lunch,85.2,4.5,0,10.2
2011,Ansonia School District,Ansonia High School,Special Education,44.4,33.3,0,22.2
2011,Ansonia School District,Ansonia High School,Non-Special Education,73.3,9.1,0,17.6
2011,Avon School District,Avon High School,All Students,95.7,3.5,0,0.8
2011,Avon School District,Avon High School,Hispanic,92.9,7.1,0,0
2011,Avon School District,Avon High School,Non-Hispanic,95.8,3.3,0,0.8
2011,Avon School District,Avon High School,American Indian,NA,NA,NA,NA
2011,Avon School District,Avon High School,Asian American,94.7,0,0,5.3
2011,Avon School District,Avon High School,Black,87.5,12.5,0,0
2011,Avon School District,Avon High School,White,96.2,3.3,0,0.5
2011,Avon School District,Avon High School,Male,93.2,5.9,0,0.8
2011,Avon School District,Avon High School,Female,97.8,1.5,0,0.7
2011,Avon School District,Avon High School,ELL,NA,NA,NA,NA
2011,Avon School District,Avon High School,Non-ELL,96,3.6,0,0.4
2011,Avon School District,Avon High School,Eligible For Lunch,100,0,0,0
2011,Avon School District,Avon High School,Not Eligible For Lunch,95.6,3.6,0,0.8
2011,Avon School District,Avon High School,Special Education,84,16,0,0
2011,Avon School District,Avon High School,Non-Special Education,96.9,2.2,0,0.9
2011,Berlin School District,Berlin High School,All Students,93.8,1.2,0,5
2011,Berlin School District,Berlin High School,Hispanic,83.3,0,0,16.7
2011,Berlin School District,Berlin High School,Non-Hispanic,94.1,1.2,0,4.7
2011,Berlin School District,Berlin High School,American Indian,NA,NA,NA,NA
2011,Berlin School District,Berlin High School,Asian American,100,0,0,0
2011,Berlin School District,Berlin High School,Black,NA,NA,NA,NA
2011,Berlin School District,Berlin High School,White,93.8,1.2,0,4.9
2011,Berlin School District,Berlin High School,Male,94.1,0.7,0,5.1
2011,Berlin School District,Berlin High School,Female,93.5,1.6,0,4.8
2011,Berlin School District,Berlin High School,ELL,NA,NA,NA,NA
2011,Berlin School District,Berlin High School,Non-ELL,93.8,1.2,0,5.1
2011,Berlin School District,Berlin High School,Eligible For Lunch,64.3,0,0,35.7
